#time	counts
0	7.62951E-05
0.0122216	0
0.0244432	0
0.0366648	0
0.0488864	0
0.061108	0
0.0733296	0
0.0855512	0
0.0977728	0
0.1099944	0
0.122216	0
0.1344376	0
0.1466592	0
0.1588808	0
0.1711024	0
0.183324	0
0.1955456	0
0.2077672	0
0.2199888	0
0.2322104	0
0.244432	0
0.2566536	0
0.2688752	0
0.2810968	0
0.2933184	0
0.30554	0
0.3177616	0
0.3299832	0
0.3422048	0
0.3544264	0
0.366648	0
0.3788696	0
0.3910912	0
0.4033128	0
0.4155344	0
0.427756	0
0.4399776	0
0.4521992	0
0.4644208	0
0.4766424	0
0.488864	1.5259E-05
0.5010856	1.5259E-05
0.5133072	0
0.5255288	0
0.5377504	0
0.549972	0
0.5621936	3.0518E-05
0.5744152	3.0518E-05
0.5866368	0
0.5988584	4.57771E-05
0.61108	0
0.6233016	1.5259E-05
0.6355232	0
0.6477448	1.5259E-05
0.6599664	0
0.672188	1.5259E-05
0.6844096	4.57771E-05
0.6966312	0
0.7088528	1.5259E-05
0.7210744	0
0.733296	3.0518E-05
0.7455176	0
0.7577392	0
0.7699608	3.0518E-05
0.7821824	0
0.794404	0
0.8066256	0
0.8188472	3.0518E-05
0.8310688	0
0.8432904	1.5259E-05
0.855512	0
0.8677336	0
0.8799552	0
0.8921768	0
0.9043984	1.5259E-05
0.91662	3.0518E-05
0.9288416	1.5259E-05
0.9410632	0
0.9532848	1.5259E-05
0.9655064	0
0.977728	0
0.9899496	3.0518E-05
1.0021712	1.5259E-05
1.0143928	0
1.0266144	3.0518E-05
1.038836	1.5259E-05
1.0510576	1.5259E-05
1.0632792	1.5259E-05
1.0755008	3.0518E-05
1.0877224	1.5259E-05
1.099944	0
1.1121656	0
1.1243872	0
1.1366088	0
1.1488304	0
1.161052	3.0518E-05
1.1732736	1.5259E-05
1.1854952	3.0518E-05
1.1977168	3.0518E-05
1.2099384	1.5259E-05
1.22216	0
1.2343816	0
1.2466032	0
1.2588248	1.5259E-05
1.2710464	0
1.283268	0
1.2954896	0
1.3077112	0
1.3199328	1.5259E-05
1.3321544	0
1.344376	3.0518E-05
1.3565976	1.5259E-05
1.3688192	0
1.3810408	0
1.3932624	1.5259E-05
1.405484	0
1.4177056	1.5259E-05
1.4299272	3.0518E-05
1.4421488	1.5259E-05
1.4543704	1.5259E-05
1.466592	0
1.4788136	0
1.4910352	1.5259E-05
1.5032568	1.5259E-05
1.5154784	0
1.5277	0
1.5399216	1.5259E-05
1.5521432	3.0518E-05
1.5643648	0
1.5765864	3.0518E-05
1.588808	1.5259E-05
1.6010296	0
1.6132512	0
1.6254728	1.5259E-05
1.6376944	0
1.649916	0
1.6621376	0
1.6743592	1.5259E-05
1.6865808	0
1.6988024	1.5259E-05
1.711024	1.5259E-05
1.7232456	1.5259E-05
1.7354672	0
1.7476888	6.10361E-05
1.7599104	1.5259E-05
1.772132	0
1.7843536	1.5259E-05
1.7965752	1.5259E-05
1.8087968	1.5259E-05
1.8210184	3.0518E-05
1.83324	0
1.8454616	1.5259E-05
1.8576832	1.5259E-05
1.8699048	0
1.8821264	0
1.894348	1.5259E-05
1.9065696	3.0518E-05
1.9187912	0
1.9310128	3.0518E-05
1.9432344	1.5259E-05
1.955456	4.57771E-05
1.9676776	1.5259E-05
1.9798992	3.0518E-05
1.9921208	1.5259E-05
2.0043424	3.0518E-05
2.016564	0
2.0287856	3.0518E-05
2.0410072	0
2.0532288	3.0518E-05
2.0654504	4.57771E-05
2.077672	1.5259E-05
2.0898936	0
2.1021152	1.5259E-05
2.1143368	3.0518E-05
2.1265584	1.5259E-05
2.13878	1.5259E-05
2.1510016	0
2.1632232	3.0518E-05
2.1754448	1.5259E-05
2.1876664	0
2.199888	3.0518E-05
2.2121096	3.0518E-05
2.2243312	3.0518E-05
2.2365528	4.57771E-05
2.2487744	1.5259E-05
2.260996	0
2.2732176	0
2.2854392	1.5259E-05
2.2976608	1.5259E-05
2.3098824	1.5259E-05
2.322104	0
2.3343256	0
2.3465472	0
2.3587688	3.0518E-05
2.3709904	6.10361E-05
2.383212	0
2.3954336	0
2.4076552	0
2.4198768	3.0518E-05
2.4320984	0
2.44432	4.57771E-05
2.4565416	0
2.4687632	4.57771E-05
2.4809848	0
2.4932064	0
2.505428	1.5259E-05
2.5176496	1.5259E-05
2.5298712	1.5259E-05
2.5420928	1.5259E-05
2.5543144	0
2.566536	1.5259E-05
2.5787576	3.0518E-05
2.5909792	1.5259E-05
2.6032008	0
2.6154224	1.5259E-05
2.627644	1.5259E-05
2.6398656	0
2.6520872	3.0518E-05
2.6643088	3.0518E-05
2.6765304	3.0518E-05
2.688752	1.5259E-05
2.7009736	1.5259E-05
2.7131952	3.0518E-05
2.7254168	0
2.7376384	1.5259E-05
2.74986	3.0518E-05
2.7620816	1.5259E-05
2.7743032	1.5259E-05
2.7865248	0
2.7987464	1.5259E-05
2.810968	1.5259E-05
2.8231896	0
2.8354112	0
2.8476328	7.62951E-05
2.8598544	3.0518E-05
2.872076	0
2.8842976	1.5259E-05
2.8965192	1.5259E-05
2.9087408	3.0518E-05
2.9209624	3.0518E-05
2.933184	3.0518E-05
2.9454056	3.0518E-05
2.9576272	1.5259E-05
2.9698488	1.5259E-05
2.9820704	1.5259E-05
2.994292	0
3.0065136	1.5259E-05
3.0187352	1.5259E-05
3.0309568	0
3.0431784	0
3.0554	1.5259E-05
3.0676216	1.5259E-05
3.0798432	1.5259E-05
3.0920648	1.5259E-05
3.1042864	3.0518E-05
3.116508	0
3.1287296	1.5259E-05
3.1409512	4.57771E-05
3.1531728	0
3.1653944	1.5259E-05
3.177616	1.5259E-05
3.1898376	0
3.2020592	1.5259E-05
3.2142808	1.5259E-05
3.2265024	0
3.238724	6.10361E-05
3.2509456	1.5259E-05
3.2631672	0
3.2753888	4.57771E-05
3.2876104	1.5259E-05
3.299832	3.0518E-05
3.3120536	1.5259E-05
3.3242752	0
3.3364968	3.0518E-05
3.3487184	3.0518E-05
3.36094	1.5259E-05
3.3731616	1.5259E-05
3.3853832	0
3.3976048	4.57771E-05
3.4098264	1.5259E-05
3.422048	1.5259E-05
3.4342696	0
3.4464912	0
3.4587128	3.0518E-05
3.4709344	0
3.483156	0
3.4953776	1.5259E-05
3.5075992	0
3.5198208	1.5259E-05
3.5320424	3.0518E-05
3.544264	3.0518E-05
3.5564856	1.5259E-05
3.5687072	3.0518E-05
3.5809288	1.5259E-05
3.5931504	3.0518E-05
3.605372	0
3.6175936	0
3.6298152	1.5259E-05
3.6420368	1.5259E-05
3.6542584	0
3.66648	3.0518E-05
3.6787016	1.5259E-05
3.6909232	3.0518E-05
3.7031448	0
3.7153664	1.5259E-05
3.727588	0
3.7398096	1.5259E-05
3.7520312	3.0518E-05
3.7642528	0
3.7764744	1.5259E-05
3.788696	3.0518E-05
3.8009176	0
3.8131392	0
3.8253608	3.0518E-05
3.8375824	3.0518E-05
3.849804	0
3.8620256	1.5259E-05
3.8742472	0
3.8864688	3.0518E-05
3.8986904	1.5259E-05
3.910912	3.0518E-05
3.9231336	1.5259E-05
3.9353552	3.0518E-05
3.9475768	0
3.9597984	0
3.97202	1.5259E-05
3.9842416	3.0518E-05
3.9964632	0
4.0086848	1.5259E-05
4.0209064	1.5259E-05
4.033128	0
4.0453496	3.0518E-05
4.0575712	3.0518E-05
4.0697928	1.5259E-05
4.0820144	0
4.094236	1.5259E-05
4.1064576	0
4.1186792	0
4.1309008	3.0518E-05
4.1431224	1.5259E-05
4.155344	1.5259E-05
4.1675656	1.5259E-05
4.1797872	0
4.1920088	0
4.2042304	4.57771E-05
4.216452	0
4.2286736	1.5259E-05
4.2408952	1.5259E-05
4.2531168	0
4.2653384	0
4.27756	0
4.2897816	3.0518E-05
4.3020032	0
4.3142248	0
4.3264464	4.57771E-05
4.338668	3.0518E-05
4.3508896	1.5259E-05
4.3631112	0
4.3753328	3.0518E-05
4.3875544	1.5259E-05
4.399776	4.57771E-05
4.4119976	3.0518E-05
4.4242192	1.5259E-05
4.4364408	0
4.4486624	3.0518E-05
4.460884	1.5259E-05
4.4731056	0
4.4853272	1.5259E-05
4.4975488	1.5259E-05
4.5097704	0
4.521992	3.0518E-05
4.5342136	3.0518E-05
4.5464352	3.0518E-05
4.5586568	1.5259E-05
4.5708784	1.5259E-05
4.5831	1.5259E-05
4.5953216	3.0518E-05
4.6075432	3.0518E-05
4.6197648	0
4.6319864	0
4.644208	1.5259E-05
4.6564296	1.5259E-05
4.6686512	0
4.6808728	1.5259E-05
4.6930944	0
4.705316	4.57771E-05
4.7175376	0
4.7297592	0
4.7419808	0
4.7542024	6.10361E-05
4.766424	0
4.7786456	0
4.7908672	0
4.8030888	0
4.8153104	1.5259E-05
4.827532	3.0518E-05
4.8397536	1.5259E-05
4.8519752	1.5259E-05
4.8641968	1.5259E-05
4.8764184	1.5259E-05
4.88864	3.0518E-05
4.9008616	1.5259E-05
4.9130832	3.0518E-05
4.9253048	4.57771E-05
4.9375264	0
4.949748	0
4.9619696	3.0518E-05
4.9741912	0
4.9864128	1.5259E-05
4.9986344	4.57771E-05
5.010856	6.10361E-05
5.0230776	0
5.0352992	3.0518E-05
5.0475208	0
5.0597424	1.5259E-05
5.071964	4.57771E-05
5.0841856	4.57771E-05
5.0964072	1.5259E-05
5.1086288	0
5.1208504	3.0518E-05
5.133072	4.57771E-05
5.1452936	1.5259E-05
5.1575152	1.5259E-05
5.1697368	1.5259E-05
5.1819584	1.5259E-05
5.19418	3.0518E-05
5.2064016	1.5259E-05
5.2186232	0
5.2308448	3.0518E-05
5.2430664	3.0518E-05
5.255288	1.5259E-05
5.2675096	1.5259E-05
